MTFCC,FEATURE CLASS,SUPERCLASS,POINT,LINEAR,AREAL,FEATURE CLASS DESCRIPTION
G3500,Urban Area,Tabulation Area,N,N,Y,"Densely settled territory that contains at least 2,500 people. The subtypes of this feature are Urbanized Area (UA), which consists of 50,000 + people and Urban Cluster, which ranges between 2,500 and 49,999 people."
G4000,"State or Equivalent Feature",Tabulation Area,N,N,Y,"The primary governmental divisions of the United States. The District of Columbia is treated as a statistical equivalent of a state for census purposes, as are Puerto Rico, American Samoa, Guam, the Commonwealth of the Northern Mariana Islands, and the U.S. Virgin Islands."
G4040,County Subdivision,Tabulation Area,N,N,Y,"The primary divisions of counties and equivalent features for the reporting of Census Bureau data. The subtypes of this feature are Minor Civil Division, Census County Division/Census Subarea, and Unorganized Territory. This feature includes independent places, which are incorporated places that are not part of any county subdivision."
G4060,Sub-Minor Civil Division,Tabulation Area,N,N,Y,"Legally defined divisions (subbarrios) of minor civil divisions (barrios-pueblo and barrios) in Puerto Rico."
G4110,Incorporated Place,Tabulation Area,N,N,Y,"A legal entity incorporated under state law to provide general- purpose governmental services to a concentration of population. Incorporated places are generally designated as a city, borough, municipality, town, village, or, in a few instances, have no legal description."
G4120,Consolidated City,Tabulation Area,N,N,Y,"An incorporated place that has merged governmentally with a county or minor civil division, but one or more of the incorporated places continues to function within the consolidation. It is a place that contains additional separately incorporated places."
G4210,Census Designated Place,Tabulation Area,N,N,Y,"A statistical area defined for a named concentration of population and the statistical counterpart of an incorporated place."
G4300,Economic Census Place,Tabulation Area,N,N,Y,"The lowest level of geographic area for presentation of some types of Economic Census data.  It includes incorporated places, consolidated cities, census designated places (CDPs), minor civil divisions (MCDs) in selected states, and balances of MCDs or counties.  An incorporated place, CDP, MCD, or balance of MCD qualifies as an economic census place if it contains 5,000 or more residents, or 5,000 or more jobs, according to the most current data available."
G5020,Census Tract,Tabulation Area,N,N,Y,"Relatively permanent statistical subdivisions of a County or equivalent feature delineated by local participants as part of the Census Bureau's Participant Statistical Areas Program."
G5030,Block Group,Tabulation Area,N,N,Y,"A cluster of census blocks having the same first digit of their four- digit identifying numbers within a Census Tract. For example, block group 3 (BG 3) within a Census Tract includes all blocks numbered from 3000 to 3999."
G5040,Tabulation Block,Tabulation Area,N,N,Y,"The lowest-order census defined statistical area. It is an area, such as a city block, bounded primarily by physical features but sometimes by invisible city or property boundaries. A tabulation block boundary does not cross the boundary of any other geographic area for which the Census Bureau tabulates data. The subtypes of this feature are Count Question Resolution (CQR), current, and census."
G5200,Congressional District,Tabulation Area,N,N,Y,"The 435 areas from which people are elected to the U.S. House of Representatives.  Additional equivalent features exist for state equivalents with nonvoting delegates or no representative.  The subtypes of this feature are 106th, 107th, 108th, 109th, and 110th Congressional Districts, plus subsequent Congresses."
G5210,"State Legislative District (Upper Chamber)",Tabulation Area,N,N,Y,"Areas established by a state or equivalent government from which members are elected to the upper or unicameral chamber of a state governing body. The upper chamber is the senate in a bicameral legislature, and the unicameral case is a single house legislature (Nebraska)."
G5220,"State Legislative District (Lower Chamber)",Tabulation Area,N,N,Y,"Areas established by a state or equivalent government from which members are elected to the lower chamber of a state governing body. The lower chamber is the House of Representatives in a bicameral legislature."
G5240,Voting District,Tabulation Area,N,N,Y,"The generic name for the geographic features, such as precincts, wards, and election districts, established by state, local, and tribal governments for the purpose of conducting elections."
G5400,"Elementary School District",Tabulation Area,N,N,Y,"A geographic area within which officials provide public elementary grade-level educational services for residents."
G5410,"Secondary School District",Tabulation Area,N,N,Y,"A geographic area within which officials provide public secondary grade-level educational services for residents."
G5420,Unified School District,Tabulation Area,N,N,Y,"A geographic area within which officials provide public educational services for all grade levels for residents."
G6100,"Public-Use Microdata Area (1% Area)",Tabulation Area,N,N,Y,"A decennial census area with a population of at least 400,000 for which the Census Bureau provides selected extracts of household- level data from a 1% sample of long-form Census Bureau records that are screened to protect confidentiality."
G6120,"Public-Use Microdata Area (5% or 10% Area)",Tabulation Area,N,N,Y,"A decennial census area with a population of at least 100,000 for which the Census Bureau provides selected extracts of household- level data from a 5% sample of long-form Census Bureau records that are screened to protect confidentiality.  In Guam and the U.S. Virgin Islands, the extracts are from a 10% sample."
G6320,Traffic Analysis Zone,Tabulation Area,N,N,Y,"An area delineated by state and/or local transportation officials and Metropolitan Planning Organizations (MPOs) for tabulating journey-to-work and place-of-work data."
G6330,Urban Growth Area,Tabulation Area,N,N,Y,"An area defined under state authority to manage urbanization that the U.S. Census Bureau includes in the MAF/TIGER Database in agreement with the state."
G6340,"ZIP Code Tabulation Area (Three-Digit)",Tabulation Area,N,N,Y,"An approximate statistical-area representation of a U.S. Postal Service (USPS) 3-digit ZIP Code service area."
G6400,Commercial Region,Tabulation Area,N,N,Y,"For the purpose of presenting economic statistical data, municipios in Puerto Rico are grouped into commercial regions."
H1100,Connector,"Hydrographic Features",N,Y,N,"A known, but nonspecific, hydrographic connection between two nonadjacent water features."
H2025,Swamp/Marsh,"Hydrographic Features",N,N,Y,"A poorly drained wetland, fresh or saltwater, wooded or grassy, possibly covered with open water. [includes bog, cienega, marais and pocosin]"
H2030,Lake/Pond,"Hydrographic Features",N,N,Y,A standing body of water that is surrounded by land.
H2040,Reservoir,"Hydrographic Features",N,N,Y,An artificially impounded body of water.
H2041,Treatment Pond,"Hydrographic Features",N,N,Y,An artificial body of water built to treat fouled water.
H2051,Bay/Estuary/Gulf/ Sound,"Hydrographic Features",N,N,Y,"A body of water partly surrounded by land. [includes arm, bight, cove and inlet]"
H2053,Ocean/Sea,"Hydrographic Features",N,N,Y,The great body of salt water that covers much of the earth.
H2060,"Gravel Pit/Quarry filled with water","Hydrographic Features",N,N,Y,"A body of water in a place or area from which commercial minerals were removed from the Earth."
H2081,Glacier,"Hydrographic Features",N,N,Y,"A body of ice moving outward and down slope from an area of accumulation; an area of relatively permanent snow or ice on the top or side of a mountain or mountainous area. [includes ice field and ice patch]"
H3010,Stream/River,"Hydrographic Features",N,Y,Y,"A natural flowing waterway. [includes anabranch, awawa, branch, brook, creek, distributary, fork, kill, pup, rio, and run]"
H3013,Braided Stream,"Hydrographic Features",N,Y,Y,"A natural flowing waterway with an intricate network of interlacing channels."
H3020,"Canal, Ditch or Aqueduct","Hydrographic Features",N,Y,Y,"An artificial waterway constructed to transport water, to irrigate or drain land, to connect two or more bodies of water, or to serve as a waterway for watercraft. [includes lateral]"
K1121,"Apartment Building or Complex","Potential Living Quarters",N,N,Y,"A building or group of buildings that contain multiple living quarters generally for which rent is paid."
K1223,"Trailer Court or Mobile Home Park","Potential Living Quarters",N,N,Y,"An area in which parking space for house trailers is rented, usually providing utilities and services."
K1225,Crew-of-Vessel Location,"Potential Living Quarters",Y,N,Y,"A point or area in which the population of military or merchant marine vessels at sea are assigned, usually being at or near the home port pier."
K1227,"Hotel, Motel, Resort, Spa, Hostel, YMCA, or YWCA","Potential Living Quarters",N,N,Y,"A structure providing transient lodging or living quarters, generally for some payment."
K1228,Campground,"Potential Living Quarters",N,N,Y,"An area used for setting up mobile temporary living quarters (camp) or holding a camp meeting, sometimes providing utilities and other amenities."
K1229,Shelter or Mission,"Potential Living Quarters",N,N,Y,"A structure providing low-cost or free living quarters established by a welfare or educational organization for the needy people of a district."
K1231,"Hospital/Hospice/ Urgent Care Facility","Potential Living Quarters",Y,N,Y,"One or more structures where the sick or injured may receive medical or surgical attention. [including infirmary]"
K1233,"Nursing Home, Retirement Home, or Home for the Aged","Potential Living Quarters",N,N,Y,A structure to house and provide care for the elderly.
K1234,"County Home or Poor Farm","Potential Living Quarters",N,N,Y,"One or more structures administered by a local government that serve as living quarters for the indigent."
K1235,Juvenile Institution,"Potential Living Quarters",N,N,Y,"A facility (correctional or non-correctional) where groups of juveniles reside; this includes training schools, detention centers, residential treatment centers and orphanages."
K1236,"Local Jail or Detention Center","Potential Living Quarters",Y,N,Y,"One or more structures that serve as a place for the confinement of adult persons in lawful detention, administered by a local (county, municipal, etc.) government."
K1237,"Federal Penitentiary, State Prison, or Prison Farm","Potential Living Quarters",Y,N,Y,"An institution that serves as a place for the confinement of adult persons in lawful detention, administered by the federal government or a state government."
K1238,"Other Correctional Institution","Potential Living Quarters",Y,N,Y,"One or more structures that serve as a place for the confinement of adult persons in lawful detention, not elsewhere classified or administered by a government of unknown jurisdiction."
K1239,"Convent, Monastery, Rectory, Other Religious Group Quarters","Potential Living Quarters",Y,N,Y,"One or more structures intended for use as a residence for those having a religious vocation."
K1241,"Sorority, Fraternity, or College Dormitory","Potential Living Quarters",N,N,Y,"One or more structures associated with a social or educational organization that serve as living quarters for college students."
K2100,Governmental,Workplaces,N,N,Y,"A place where employees are employed in federal, state, local, or tribal government."
K2110,Military Installation,Governmental,Y,N,Y,"An area owned and/or occupied by the Department of Defense for use by a branch of the armed forces (such as the Army, Navy, Air Force, Marines, or Coast Guard), or a state owned area for the use of the National Guard."
K2165,Government Center,Governmental,Y,N,Y,"A place used by members of government (either federal, state, local, or tribal) for administration and public business."
K2167,Convention Center,Governmental,Y,N,Y,"An exhibition hall or conference center with enough open space to host public and private business and social events."
K2180,Park,Governmental,N,N,Y,"Parkland defined and administered by federal, state, and local governments."
K2181,"National Park Service Land",Park,Y,N,Y,"Area—National parks, National Monuments, and so forth—under the jurisdiction of the National Park Service."
K2182,"National Forest or Other Federal Land",Park,Y,N,Y,"Land under the management and jurisdiction of the federal government, specifically including areas designated as National Forest, and excluding areas under the jurisdiction of the National Park Service."
K2183,"Tribal Park, Forest, or Recreation Area",Park,Y,N,Y,"A place or area set aside for recreation or preservation of a cultural or natural resource and under the administration of an American Indian tribe."
K2184,"State Park, Forest, or Recreation Area",Park,Y,N,Y,"A place or area set aside for recreation or preservation of a cultural or natural resource and under the administration of a state government."
K2185,"Regional Park, Forest, or Recreation Area",Park,Y,N,Y,"A place or area set aside for recreation or preservation of a cultural or natural resource and under the administration of a regional government."
K2186,"County Park, Forest, or Recreation Area",Park,Y,N,Y,"A place or area set aside for recreation or preservation of a cultural or natural resource and under the administration of a county government."
K2187,"County Subdivision Park, Forest, or Recreation Area",Park,Y,N,Y,"A place or area set aside for recreation or preservation of a cultural or natural resource and under the administration of a minor civil division (town/township) government."
K2188,"Incorporated Place Park, Forest, or Recreation Area",Park,Y,N,Y,"A place or area set aside for recreation or preservation of a cultural or natural resource and under the administration of a municipal government."
K2189,"Private Park, Forest, or Recreation Area",Park,Y,N,Y,"A privately owned place or area set aside for recreation or preservation of a cultural or natural resource."
K2190,"Other Park, Forest, or Recreation Area (quasi- public, independent park, commission, etc.)",Park,Y,N,Y,"A place or area set aside for recreation or preservation of a cultural or natural resource and under the administration of some other type of government or agency such as an independent park authority or commission."
K2191,Post Office,Governmental,Y,N,N,"An official facility of the U.S. Postal Service used for processing and distributing mail and other postal material."
K2193,Fire Department,Governmental,Y,N,N,Fire Department.
K2194,Police Station,Governmental,Y,N,N,Police Station.
K2196,City/Town Hall,Governmental,Y,N,N,City/Town Hall.
K2300,Commercial Workplace,Workplaces,N,N,Y,"A place of employment for wholesale, retail, or other trade."
K2361,"Shopping Center or Major Retail Center","Commercial Workplace",N,N,Y,"A group of retail establishments within a planned subdivision sharing a common parking area."
K2362,"Industrial Building or Industrial Park","Commercial Workplace",N,N,Y,"One or more manufacturing establishments within an area zoned for fabrication, construction, or other similar trades."
K2363,"Office Building or Office Park","Commercial Workplace",N,N,Y,"One or more structures housing employees performing business, clerical, or professional services."
K2364,"Farm/Vineyard/ Winery/Orchard","Commercial Workplace",N,N,Y,"An agricultural establishment where crops are grown and/or animals are raised, usually for food."
K2366,"Other Employment Center","Commercial Workplace",N,N,Y,"A place of employment not elsewhere classified or of unknown type."
K2400,Transportation Terminal,Workplaces,Y,N,Y,"A facility where one or more modes of transportation can be accessed by people or for the shipment of goods; examples of such a facility include marine terminal, bus station, train station, airport and truck warehouse."
K2424,Marina,"Transportation Terminal",N,N,Y,"A place where privately owned, light-craft are moored."
K2432,Pier/Dock,"Transportation Terminal",N,Y,Y,"A platform built out from the shore into the water and supported by piles. This platform may provide access to ships and boats, or it may be used for recreational purposes."
K2451,Airport or Airfield,"Transportation Terminal",Y,Y,Y,"A manmade facility maintained for the use of aircraft. [including airstrip, landing field and landing strip]"
K2452,"Train Station, Trolley or Mass Transit Rail Station","Transportation Terminal",Y,N,Y,"A place where travelers can board and exit rail transit lines, including associated ticketing, freight, and other commercial offices."
K2453,Bus Terminal,"Transportation Terminal",Y,N,Y,"A place where travelers can board and exit mass motor vehicle transit, including associated ticketing, freight, and other commercial offices."
K2454,Marine Terminal,"Transportation Terminal",Y,N,Y,"A place where travelers can board and exit water transit or where cargo is handled, including associated ticketing, freight, and other commercial offices."
K2455,Seaplane Anchorage,"Transportation Terminal",Y,N,Y,"A place where an airplane equipped with floats for landing on or taking off from a body of water can debark and load."
K2456,"Airport—Intermodal Transportation Hub/Terminal","Transportation Terminal",Y,N,Y,"A major air transportation facility where travelers can board and exit airplanes and connect with other (i.e. non-air) modes of transportation."
K2457,"Airport—Statistical Representation","Transportation Terminal",N,N,Y,"The area of an airport adjusted to include whole 2000 census blocks used for the delineation of urban areas."
K2459,Runway/Taxiway,"Transportation Terminal",Y,Y,Y,"A fairly level and usually paved expanse used by airplanes for taking off and landing at an airport."
K2460,Helicopter Landing Pad,"Transportation Terminal",Y,N,Y,"A fairly level and usually paved expanse used by helicopters for taking off and landing."
K2540,University or College,Other Workplace,Y,N,Y,"A building or group of buildings used as an institution for post- secondary study, teaching, and learning. [including seminary]"
K2543,School or Academy,Other Workplace,Y,N,Y,"A building or group of buildings used as an institution for preschool, elementary or secondary study, teaching, and learning. [including elementary school and high school]"
K2545,"Museum, Visitor Center, Cultural Center, or Tourist Attraction",Other Workplace,Y,N,Y,"An attraction of historical, cultural, educational or other interest that provides information or displays artifacts."
K2561,Golf Course,Other Workplace,Y,N,Y,A place designed for playing golf.
K2564,Amusement Center,Other Workplace,N,N,Y,"A facility that offers entertainment, performances or sporting events. Examples include arena, auditorium, theater, stadium, coliseum, race course, theme park, fairgrounds and shooting range."
K2582,Cemetery,Other Workplace,Y,N,Y,"A place or area for burying the dead. [including burying ground and memorial garden]"
K2586,Zoo,Other Workplace,Y,N,Y,"A facility in which terrestrial and/or marine animals are confined within enclosures and displayed to the public for educational, preservation, and research purposes."
K3544,Place of Worship,Other Workplace,Y,N,Y,"A sanctified place or structure where people gather for religious worship; examples include church, synagogue, temple, and mosque."
L4010,Pipeline,"Miscellaneous Linear Features",N,Y,N,"A long tubular conduit or series of pipes, often underground, with pumps and valves for flow control, used to transport fluid (e.g., crude oil, natural gas), especially over great distances."
L4020,Powerline,"Miscellaneous Linear Features",N,Y,N,"One or more wires, often on elevated towers, used for conducting high-voltage electric power."
L4031,Aerial Tramway/Ski Lift,"Miscellaneous Linear Features",N,Y,N,"A conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers."
L4040,Conveyor,"Miscellaneous Linear Features",N,Y,N,"A mechanical apparatus that uses a moving belt to transport items from one place to another."
L4110,Fence Line,"Miscellaneous Linear Features",N,Y,N,"A man-made barrier enclosing or bordering a field, yard, etc., usually made of posts and wire or wood, used to prevent entrance, to confine, or to mark a boundary."
L4121,Ridge Line,"Miscellaneous Linear Features",N,Y,N,The line of highest elevation along a ridge.
L4130,Point-to-Point Line,"Miscellaneous Linear Features",N,Y,N,"A line defined as beginning at one location point and ending at another, both of which are in sight."
L4140,"Property/Parcel Line (Including PLSS)","Miscellaneous Linear Features",N,Y,N,"This feature class may denote a nonvisible boundary of either public or private lands (e.g., a park boundary) or it may denote a Public Land Survey System or equivalent survey line."
L4165,Ferry Crossing,"Miscellaneous Linear Features",N,Y,N,"The route used to carry or convey people or cargo back and forth over a waterbody in a boat."
P0001,"Nonvisible Linear Legal/Statistical Boundary",Bounding Edges,N,Y,N,"A legal/statistical boundary line that does not correspond to a shoreline or other visible feature on the ground."
P0002,Perennial Shoreline,Bounding Edges,N,Y,N,"The more-or-less permanent boundary between land and water for a water feature that exists year-round."
P0003,Intermittent Shoreline,Bounding Edges,N,Y,N,"The boundary between land and water (when water is present) for a water feature that does not exist year-round."
R1011,"Railroad Feature  (Main, Spur, or Yard)",Rail Features,N,Y,N,"A line of fixed rails or tracks that carries mainstream railroad traffic. Such a rail line can be a main line or spur line, or part of a rail yard."
R1051,"Carline, Streetcar Track, Monorail, Other Mass Transit Rail",Rail Features,N,Y,N,"Mass transit rail lines (including lines for rapid transit, monorails, streetcars, light rail, etc.) that are typically inaccessible to mainstream railroad traffic and whose tracks are not part of a road right-of-way."
R1052,"Cog Rail Line, Incline Rail Line, Tram",Rail Features,N,Y,N,"A special purpose rail line for climbing steep grades that is typically inaccessible to mainstream railroad traffic. Note that aerial tramways and streetcars (which may also be called “trams”) are accounted for by other MTFCCs and do not belong in R1052."
S1100,Primary Road,"Road/Path Features",N,Y,N,"Primary roads are generally divided, limited-access highways within the interstate highway system or under state management, and are distinguished by the presence of interchanges. These highways are accessible by ramps and may include some toll highways."
S1200,Secondary Road,"Road/Path Features",N,Y,N,"Secondary roads are main arteries, usually in the U.S. Highway, State Highway or County Highway system. These roads have one or more lanes of traffic in each direction, may or may not be divided, and usually have at-grade intersections with many other roads and driveways. They often have both a local name and a route number."
S1400,"Local Neighborhood Road, Rural Road, City Street","Road/Path Features",N,Y,N,"Generally a paved non-arterial street, road, or byway that usually has a single lane of traffic in each direction. Roads in this feature class may be privately or publicly maintained. Scenic park roads would be included in this feature class, as would (depending on the region of the country) some unpaved roads."
S1500,Vehicular Trail (4WD),"Road/Path Features",N,Y,N,"An unpaved dirt trail where a four-wheel drive vehicle is required. These vehicular trails are found almost exclusively in very rural areas. Minor, unpaved roads usable by ordinary cars and trucks belong in the S1400 category."
S1640,"Service Drive usually along a limited access highway","Road/Path Features",N,Y,N,"A road, usually paralleling a limited access highway, that provides access to structures along the highway. These roads can be named and may intersect with other roads."
S1710,"Walkway/Pedestrian Trail","Road/Path Features",N,Y,N,"A path that is used for walking, being either too narrow for or legally restricted from vehicular traffic."
S1720,Stairway,"Road/Path Features",N,Y,N,"A pedestrian passageway from one level to another by a series of steps."
S1730,Alley,"Road/Path Features",N,Y,N,"A service road that does not generally have associated addressed structures and is usually unnamed. It is located at the rear of buildings and properties and is used for deliveries."
S1740,"Private Road for service vehicles (logging, oil fields, ranches, etc.)","Road/Path Features",N,Y,N,"A road within private property that is privately maintained for service, extractive, or other purposes. These roads are often unnamed."
S1750,"Internal U.S. Census Bureau use","Road/Path Features",N,Y,N,Internal U.S. Census Bureau use.
S1780,Parking Lot Road,"Road/Path Features",N,Y,N,The main travel route for vehicles through a paved parking area.
S1820,Bike Path or Trail,"Road/Path Features",N,Y,N,"A path that is used for manual or small, motorized bicycles, being either too narrow for or legally restricted from vehicular traffic."
S1830,Bridle Path,"Road/Path Features",N,Y,N,"A path that is used for horses, being either too narrow for or legally restricted from vehicular traffic."
S2000,Road Median,"Road/Path Features",N,N,Y,"The unpaved area or barrier between the carriageways of a divided road."
